ID;SKU;Nazwa;Opublikowany;Krótki opis;Opis;Cena promocyjna;Cena;Pola: wholesale_customer_wholesale_price;Kategorie;Tagi;Obrazki;Nazwa atrybutu 1;Wartości atrybutu 1;Atrybut 1: globalny;Nazwa atrybutu 2;Wartości atrybutu 2;Atrybut 2: globalny;Nazwa atrybutu 3;Wartości atrybutu 3;Atrybut 3: globalny;Nazwa atrybutu 4;Wartości atrybutu 4;Atrybut 4: globalny;Nazwa atrybutu 5;Wartości atrybutu 5;Atrybut 5: globalny;Nazwa atrybutu 6;Wartości atrybutu 6;Atrybut 6: globalny;Nazwa atrybutu 7;Wartości atrybutu 7;Atrybut 7: globalny;Nazwa atrybutu 8;Wartości atrybutu 8;Atrybut 8: globalny;Nazwa atrybutu 9;Wartości atrybutu 9;Atrybut 9: globalny;Nazwa atrybutu 10;Wartości atrybutu 10;Atrybut 10: globalny;Nazwa atrybutu 11;Wartości atrybutu 11;Atrybut 11: globalny;Nazwa atrybutu 12;Wartości atrybutu 12;Atrybut 12: globalny;Nazwa atrybutu 13;Wartości atrybutu 13;Atrybut 13: globalny;Nazwa atrybutu 14;Wartości atrybutu 14;Atrybut 14: globalny;Nazwa atrybutu 15;Wartości atrybutu 15;Atrybut 15: globalny;Nazwa atrybutu 16;Wartości atrybutu 16;Atrybut 16: globalny;Nazwa atrybutu 17;Wartości atrybutu 17;Atrybut 17: globalny;Nazwa atrybutu 18;Wartości atrybutu 18;Atrybut 18: globalny;Nazwa atrybutu 19;Wartości atrybutu 19;Atrybut 19: globalny;Nazwa atrybutu 20;Wartości atrybutu 20;Atrybut 20: globalny;Nazwa atrybutu 21;Wartości atrybutu 21;Atrybut 21: globalny;Nazwa atrybutu 22;Wartości atrybutu 22;Atrybut 22: globalny;Nazwa atrybutu 23;Wartości atrybutu 23;Atrybut 23: globalny;Nazwa atrybutu 24;Wartości atrybutu 24;Atrybut 24: globalny;Nazwa atrybutu 25;Wartości atrybutu 25;Atrybut 25: globalny;Nazwa atrybutu 26;Wartości atrybutu 26;Atrybut 26: globalny;Nazwa atrybutu 27;Wartości atrybutu 27;Atrybut 27: globalny;Nazwa atrybutu 28;Wartości atrybutu 28;Atrybut 28: globalny;Nazwa atrybutu 29;Wartości atrybutu 29;Atrybut 29: globalny
;;PS-HEAVY/S/3M/3X1,5/H07RN-F;1;Przedłużacz specjalistyczny z wyłącznikiem Heavy Line hermetyczny z klapkami i metalowym hakiem;;;;;Przedłużacze specjalistyczne > Heavy Duty;Heavy Duty;W-98925_00.jpg,W-98925_01.jpg,W-98925_02.jpg,W-98925_03.jpg,W-98925_04.jpg,W-98925_05.jpg,W-98925_06.jpg;Symbol produktu;W-98925;;Kolor;ŻÓŁTO-CZARNY;1;Typ gniazda;German Type;1;Napięcie [V];250;;;;;Natężenie [A];16;;Ilość gniazd;4;1;Żyła;H07RN-F;1;Typ izolacji;Guma;1;Przekrój przewodu [mm²];3x1\,5;1;Długość przewodu [m];3;1;Parametry;4x2p+Z;;Stopień ochrony [IP];IP44;1;Do użytku;wewnętrznego / zewnętrznego;1;Uziemienie;Tak;1;Przesłony torów prądowych;Tak;1;;;;Wymiary bez opakowania [mm];;;Ilość w opakowaniu jednostkowym;1;;Ilość w opakowaniu zbiorczym;;;Waga Netto [kg];;;Waga Brutto [kg];;;Waga opakowania zbiorczego [kg];;;Długość opakowania zbiorczego [mm];;;Wysokość opakowania zbiorczego [mm];;;Szerokość opakowania zbiorczego [mm];;;Znak przekreślonego kosza;Tak;;Znak CE;Tak;;Marka;KEL;1
;;PS-HEAVY/S/5M/3X1,5/H07RN-F;1;Przedłużacz specjalistyczny z wyłącznikiem Heavy Line hermetyczny z klapkami i metalowym hakiem;;;;;Przedłużacze specjalistyczne > Heavy Duty;Heavy Duty;W-98926_00.jpg,W-98926_01.jpg,W-98926_02.jpg,W-98926_03.jpg,W-98926_04.jpg,W-98926_05.jpg,W-98926_06.jpg;Symbol produktu;W-98926;;Kolor;ŻÓŁTO-CZARNY;1;Typ gniazda;German Type;1;Napięcie [V];250;;;;;Natężenie [A];16;;Ilość gniazd;4;1;Żyła;H07RN-F;1;Typ izolacji;Guma;1;Przekrój przewodu [mm²];3x1\,5;1;Długość przewodu [m];5;1;Parametry;4x2p+Z;;Stopień ochrony [IP];IP44;1;Do użytku;wewnętrznego / zewnętrznego;1;Uziemienie;Tak;1;Przesłony torów prądowych;Tak;1;;;;Wymiary bez opakowania [mm];;;Ilość w opakowaniu jednostkowym;1;;Ilość w opakowaniu zbiorczym;;;Waga Netto [kg];;;Waga Brutto [kg];;;Waga opakowania zbiorczego [kg];;;Długość opakowania zbiorczego [mm];;;Wysokość opakowania zbiorczego [mm];;;Szerokość opakowania zbiorczego [mm];;;Znak przekreślonego kosza;Tak;;Znak CE;Tak;;Marka;KEL;1
